id,date,city,state,type,ideology,subideology,group,description,image
6794,11/2018,New York,NY,Harassment,,,,"A woman found an anti-Semitic poster taped to a tree in front of her residence that read: ""They want you broke, they want your family destroyed, they want your kids raped, they want your race dead and think it s funny, beware the Jew.""",
6795,11/2018,Los Angeles,CA,Harassment,,,,Store employee made a disparaging remark in regards to Jewish stereotypes.,
6796,11/2018,Washington,DC,Harassment,,,,"Jewish individual received an anti-Semitic and threatening email with the subject line ""Jew Bastards"" and a message that his family should have died in Auschwitz.",
6797,11/2018,Washington,DC,Harassment,,,,Hostel guest made anti-Semitic and racist remarks and jokes.,
6798,11/2018,New York,NY,Harassment,,,,"Jewish woman received anti-Semitic text messages to her cell phone stating ""Jews and foreigners have fucked up our country against our will.""",
6799,11/2018,Fairfield,CA,Harassment,,,,"Jewish high school student victim of anti-Semitic harassment and bullying that included anti-Semitic jokes and being physically labeled ""Jew.""",
6800,11/2018,Boston,MA,Harassment,,,,A swastika was drawn on a student's notebook.,
6801,11/2018,Millcreek,UT,Harassment,,,,"Student yelled ""Heil Hitler all Jews should die"" in school.",
6802,11/2018,New York,NY,Harassment,,,,"Jewish woman received an anti-Semitic post-card in the mail that read: ""Make funeral plans for yourself and family. You're all dead, Jewfucks.""",
6803,11/2018,Santa Monica,CA,Harassment,,,,Confidential,
6804,11/2018,Valley Village,CA,Harassment,,,,"A Jewish man was verbally harassed on the street by an individual who made anti-Israel and anti-Semitic remarks. He yelled a: ""Fuck Jews, fuck Netanyahu, I'll beat you, fuck you you prick.""",
6805,11/2018,Palos Hills,IL,Harassment,,,,"Car with ""Arbeit Macht Frei"" decal on the back.",
6806,11/2018,Raleigh,NC,Harassment,,,,Individual expressed anti-Semitic sentiments while protesting at a vigil for victims of the Pittsburgh synagogue shooting.,
6807,11/2018,Saint Paul,MN,Harassment,,,,"KKK and ""JEW"" were written in the snow on a car outside a house.",
6808,11/2018,Concord,NH,Harassment,,,,"Brian Roberts sent a message to a government website in which he threatened to shoot the governor of New Hampshire and ""kill every [expletive] Jew I ever [expletive] look at."" He was subsequently arrested.",
6809,11/2018,Bloomfield Hills,MI,Harassment,,,,Jewish high school student was taunted by peers with an anti-Semitic song.,
6810,11/2018,Brooklyn,NY,Harassment,,,,"A Jewish man was sitting in his car when an unknown individual approached him and raised his arm and repeated the phrase ""Heil Hitler.""",
6811,11/2018,Harrisburg,PA,Harassment,,,,"A conspiratorial leaflet with anti-Jewish, anti-Muslim, and anti-Catholic elements were found at Wildwood Park.",
6812,11/2018,Chesterbrook,PA,Harassment,,,,Individual targeted with anti-Semitic comment at a homeowner's association meeting.,
6813,11/2018,St. Louis,MO,Harassment,,,,"Individual received a threatening text message that read: ""Your [sic] going to be another stupid dead Jew just like your no good stupid dead Jew Mother.""",
6814,11/2018,Seattle,WA,Vandalism,,,,Bathroom in a public park was vandalized with swastika graffiti.,
6815,11/2018,Sherman Oaks,CA,Vandalism,,,,A building was vandalized with swastika graffiti.,
6816,11/2018,Cleveland,OH,Vandalism,,,,A swastika was drawn on the wall of a restroom at Case Western Reserve University.,
6817,11/2018,Calabasas,CA,Vandalism,,,,Confidential,
6818,11/2018,Franklin,TN,Vandalism,,,,Confidential,
6819,11/2018,Waltham,MA,Vandalism,,,,A car parked on the Brandeis University campus was vandalized with a swastika.,
6820,11/2018,San Diego,CA,Vandalism,,,,Anti-Semitic graffiti discovered at an elementary school.,
6821,11/2018,Denver,CO,Vandalism,,,,A mezuzah was torn off the doorpost of a Jewish family's home.,
6822,11/2018,Millersville,PA,Vandalism,,,,"The message ""I hate Jews"" was found in a men's bathroom partition at Millersville University.",
6823,11/2018,Chicago,IL,Vandalism,,,,Jewish boy at a middle school discovered a swastika had been drawn on his school locker.,
6824,11/2018,Seattle,WA,Vandalism,,,,A traffic sign across from a synagogue was defaced with an anti-Semitic sticker.,
6825,11/2018,Knoxville,TN,Vandalism,,,,"A rock on the University of Tennessee, Knoxville campus was decorated to memorialize the victims of the Tree of Life synagogue shooting, only to then be vandalized with swastikas and other hateful language and symbols for the second time in two weeks.",
6826,11/2018,Apalachin,NY,Vandalism,,,,School vandalized with swastika graffiti.,
6827,11/2018,Malden,MA,Vandalism,,,,Swastika vandalism discovered in an elevator at a high school.,
6828,11/2018,Melrose,MA,Vandalism,,,,Swastika vandalism discovered in a bathroom at a middle school.,
6829,11/2018,Oceanside,NY,Vandalism,,,,Swastika vandalism on a sidewalk.,
6830,11/2018,Mineola,NY,Vandalism,,,,Police reported anti-Semitic graffiti on a building.,
6831,11/2018,Hempstead,NY,Vandalism,,,,Swastika vandalism.,
6832,11/2018,West Hempstead,NY,Vandalism,,,,Swastika vandalism on the sidewalk.,
6833,11/2018,Valley Stream,NY,Vandalism,,,,Swastika graffiti on a fence.,
6834,11/2018,East Rockaway,NY,Vandalism,,,,Residential driveway vandalized with swastika graffiti.,
6835,11/2018,Egg Harbor Township,NJ,Vandalism,,,,A student at Stockton University discovered a swastika had been carved onto his door.,
6836,11/2018,New York,NY,Vandalism,,,,"A Jewish professor's office at Columbia University was defaced with swastika graffiti and the word ""Yid.""",
6837,11/2018,Philadelphia,PA,Vandalism,,,,"Someone drew a swastika and the words ""Fuck you, Jews!"" inside a men's bathroom at Temple University.",
6838,11/2018,Reading,MA,Vandalism,,,,Swastika graffiti discovered in a stairwell at a high school.,
6839,11/2018,Reading,MA,Vandalism,,,,Swastika graffiti discovered in a bathroom at a high school.,
